Strain	T0
Austria/CeMM0001/2020	1221
Austria/CeMM0002/2020	1268
Austria/CeMM0003/2020	1850
Austria/CeMM0005/2020	1519
Austria/CeMM0006/2020	445
Austria/CeMM0008/2020	442
Austria/CeMM0012/2020	663
Austria/CeMM0023/2020	785
Austria/CeMM0024/2020	748
Austria/CeMM0025/2020	700
Austria/CeMM0027/2020	701
Austria/CeMM0028/2020	699
Austria/CeMM0029/2020	758
Austria/CeMM0030/2020	743
Austria/CeMM0031/2020	737
Austria/CeMM0034/2020	726
Austria/CeMM0035/2020	667
Austria/CeMM0036/2020	658
Austria/CeMM0037/2020	738
Austria/CeMM0038/2020	687
Austria/CeMM0039/2020	786
Austria/CeMM0041/2020	364
Austria/CeMM0042/2020	728
Austria/CeMM0043/2020	1228
Austria/CeMM0045/2020	1908
Austria/CeMM0116/2020	692
Austria/CeMM0143/2020	1840
Austria/CeMM0146/2020	1862
Austria/CeMM0147/2020	1848
Austria/CeMM0148/2020	1843
Austria/CeMM0149/2020	1858
Austria/CeMM0150/2020	1844
Austria/CeMM0153/2020	1905
Austria/CeMM0154/2020	1894
Austria/CeMM0155/2020	400
Austria/CeMM0156/2020	401
Austria/CeMM0157/2020	1839
Austria/CeMM0158/2020	1863
Austria/CeMM0159/2020	1856
Austria/CeMM0160/2020	1837
Austria/CeMM0161/2020	1861
Austria/CeMM0162/2020	1860
Austria/CeMM0163/2020	402
Austria/CeMM0165/2020	1855
Austria/CeMM0166/2020	1857
Austria/CeMM0167/2020	2329
Austria/CeMM0168/2020	1841
Austria/CeMM0169/2020	1839
Austria/CeMM0170/2020	1853
Austria/CeMM0171/2020	1838
Austria/CeMM0172/2020	1849
Austria/CeMM0175/2020	1845
Austria/CeMM0176/2020	1839
Austria/CeMM0177/2020	1854
Austria/CeMM0178/2020	1851
Austria/CeMM0180/2020	1842
Austria/CeMM0181/2020	1847
Austria/CeMM0182/2020	1846
Austria/CeMM0183/2020	1839
Austria/CeMM0390/2020	564
Austria/CeMM0391/2020	2222
Austria/CeMM0401/2020	1859
Austria/CeMM0402/2020	2141
Austria/CeMM0413/2020	1401
Austria/CeMM0414/2020	2014
Austria/CeMM0423/2020	1246
Austria/CeMM0425/2020	1218
Austria/CeMM0426/2020	450
Austria/CeMM0449/2020	545
Austria/CeMM0460/2020	1253
Austria/CeMM0461/2020	2014
Austria/CeMM0462/2020	2016
Austria/CeMM0472/2020	1852
Austria/CeMM0473/2020	2014
Austria/CeMM0474/2020	2222
Austria/CeMM0484/2020	2014
Austria/CeMM0563/2020	2088
Belgium/030959/2020	1976
Belgium/AC-030982/2020	1255
Belgium/AKM-030670/2020	1917
Belgium/BA-02291/2020	796
Belgium/BC-03016/2020	1974
Belgium/BDW-030694/2020	96
Belgium/BG-030551/2020	96
Belgium/BG-030955/2020	1917
Belgium/BGM-030444/2020	789
Belgium/BJ-030767/2020	1896
Belgium/BM-03012/2020	96
Belgium/BM-030687/2020	1897
Belgium/BS-030598/2020	2270
Belgium/CD-030679/2020	1974
Belgium/CG-030158/2020	1251
Belgium/CS-031052/2020	1267
Belgium/DA-030691/2020	149
Belgium/DAL-030650/2020	2252
Belgium/DB-03023/2020	151
Belgium/DBA-03032/2020	2252
Belgium/DBD-03024/2020	1920
Belgium/DBOM-030566/2020	796
Belgium/DCS-030796/2020	1979
Belgium/DD-030593/2020	1918
Belgium/DHWM-03041/2020	1900
Belgium/DJ-030452/2020	1975
Belgium/DLDJ-030569/2020	168
Belgium/DVBJ-030468/2020	840
Belgium/DWAEE-030954/2020	2341
Belgium/ECC-030686/2020	168
Belgium/FAE-030948/2020	559
Belgium/FM-030592/2020	210
Belgium/FR-03029/2020	1883
Belgium/GE-030573/2020	144
Belgium/GJ-030458/2020	1989
Belgium/GL-030546/2020	102
Belgium/GMH-03022/2020	2252
Belgium/GOF-030578/2020	789
Belgium/GS-030549/2020	789
Belgium/GSA-030454/2020	2252
Belgium/HAA-030953/2020	1521
Belgium/HC-030760/2020	1907
Belgium/HL-030771/2020	104
Belgium/JK-0305110/2020	96
Belgium/JL-03044/2020	2250
Belgium/JRH-030459/2020	1753
Belgium/KA-03042/2020	125
Belgium/KN-030756/2020	1978
Belgium/LD-030597/2020	2087
Belgium/LM-030685/2020	1974
Belgium/LT-030956/2020	707
Belgium/LY-030575/2020	1920
Belgium/MC-030689/2020	96
Belgium/MCW-030574/2020	1920
Belgium/MF-030546/2020	2252
Belgium/MJP-0306100/2020	1255
Belgium/MJP-030684/2020	1989
Belgium/MMJ-03034/2020	2134
Belgium/MTR-03021/2020	2252
Belgium/MTR-03026/2020	2252
Belgium/NKR-030645/2020	564
Belgium/NL-030447/2020	2252
Belgium/PA-030680/2020	1987
Belgium/PAN-030681/2020	1974
Belgium/QKJ-03015/2020	1920
Belgium/QOJ-030751/2020	1975
Belgium/RA-030445/2020	133
Belgium/RA-030664/2020	1787
Belgium/RDC-030961/2020	564
Belgium/rega-0309752/2020	1865
Belgium/RJ-030552/2020	2244
Belgium/RJL-030588/2020	2078
Belgium/RR-030699/2020	1916
Belgium/RS-030257/2020	455
Belgium/RS-030677/2020	1988
Belgium/RT-03035/2020	359
Belgium/RT-030460/2020	360
Belgium/RYR-030649/2020	1989
Belgium/SB-030990/2020	350
Belgium/SH-03014/2020	342
Belgium/SJ-030583/2020	1255
Belgium/SN-03031/2020	150
Belgium/SQ-03043/2020	2134
Belgium/SS-031047/2020	104
Belgium/TG-030757/2020	1977
Belgium/UGent-78/2020	841
Belgium/UGent-79/2020	111
Belgium/ULG-2971/2020	1990
Belgium/ULG-3000/2020	1974
Belgium/ULG-3163/2020	790
Belgium/ULG-3662/2020	1461
Belgium/ULG-3665/2020	1459
Belgium/ULG-3683/2020	1460
Belgium/ULG-3843/2020	1991
Belgium/ULG-4163/2020	172
Belgium/UMF-03025/2020	1920
Belgium/VAG-03013/2020	153
Belgium/VBK-03061/2020	1902
Belgium/VDLH-030548-2/2020	355
Belgium/VDLH-030548/2020	96
Belgium/VF-030562/2020	2244
Belgium/VGA-030672/2020	1899
Belgium/VHC-030655/2020	171
Belgium/VHRA-030644/2020	148
Belgium/VI-03027/2020	2213
Belgium/VJP-030463/2020	2244
Belgium/VLM-03011/2020	153
Belgium/VMC-030695/2020	2086
Belgium/VPE-030650/2020	1351
Belgium/VRAR-030643/2020	343
Belgium/VS-030542/2020	2140
Belgium/WAM-030676/2020	1974
Belgium/WWM-030665/2020	2252
Bulgaria/41/2020	154
Croatia/297_Varazdin/2020	413
Croatia/361_Pula/2020	1789
Croatia/ZG-297-20/2020	1945
Denmark/ALAB-HH-101/2020	2143
Denmark/ALAB-HH-102/2020	688
Denmark/ALAB-HH-104/2020	575
Denmark/ALAB-HH-106/2020	217
Denmark/ALAB-HH-107/2020	730
Denmark/ALAB-HH-108/2020	685
Denmark/ALAB-HH-110/2020	693
Denmark/ALAB-HH-111/2020	685
Denmark/ALAB-HH-112/2020	682
Denmark/ALAB-HH-113/2020	735
Denmark/ALAB-HH-114/2020	689
Denmark/ALAB-HH-115/2020	776
Denmark/ALAB-HH-116/2020	685
Denmark/ALAB-HH-97/2020	1889
Denmark/ALAB-HH-99/2020	2088
Denmark/ALAB-HH01/2020	772
Denmark/ALAB-HH02/2020	773
Denmark/ALAB-HH03/2020	735
Denmark/ALAB-HH04/2020	803
Denmark/ALAB-HH05/2020	735
Denmark/ALAB-HH06/2020	802
Denmark/ALAB-HH07/2020	735
Denmark/ALAB-HH08/2020	798
Denmark/ALAB-HH11/2020	735
Denmark/ALAB-HH13/2020	678
Denmark/ALAB-HH14/2020	730
Denmark/ALAB-HH15/2020	1960
Denmark/ALAB-HH16/2020	713
Denmark/ALAB-HH17/2020	713
Denmark/ALAB-HH18/2020	735
Denmark/ALAB-HH19/2020	655
Denmark/ALAB-HH20/2020	826
Denmark/ALAB-HH21/2020	1232
Denmark/ALAB-HH22/2020	735
Denmark/ALAB-HH23/2020	735
Denmark/ALAB-SSI-1261/2020	698
Denmark/ALAB-SSI-1262/2020	2154
Denmark/ALAB-SSI-1263/2020	471
Denmark/ALAB-SSI-1264/2020	735
Denmark/ALAB-SSI-1265/2020	735
Denmark/ALAB-SSI-1268/2020	714
Denmark/ALAB-SSI-1269/2020	735
Denmark/ALAB-SSI-1270/2020	735
Denmark/ALAB-SSI-1272/2020	685
Denmark/ALAB-SSI-133/2020	81
Denmark/ALAB-SSI-135/2020	693
Denmark/ALAB-SSI-136/2020	669
Denmark/ALAB-SSI-137/2020	691
Denmark/ALAB-SSI-138/2020	654
Denmark/ALAB-SSI-197/2020	770
Denmark/ALAB-SSI-242/2020	715
Denmark/ALAB-SSI-243/2020	689
Denmark/ALAB-SSI-244/2020	1232
Denmark/ALAB-SSI-245/2020	96
Denmark/ALAB-SSI-246/2020	685
Denmark/ALAB-SSI-247/2020	653
Denmark/ALAB-SSI-248/2020	1953
Denmark/ALAB-SSI-251/2020	1231
Denmark/ALAB-SSI-284/2020	696
Denmark/ALAB-SSI-762/2020	695
Denmark/ALAB-SSI101/2020	580
Denmark/ALAB-SSI102/2020	106
Denmark/ALAB-SSI103/2020	1397
Denmark/ALAB-SSI104/2020	681
Denmark/ALAB-SSI105/2020	735
Denmark/ALAB-SSI106/2020	721
Denmark/ALAB-SSI107/2020	668
Denmark/ALAB-SSI108/2020	349
Denmark/ALAB-SSI109/2020	1974
Denmark/ALAB-SSI110/2020	679
Denmark/ALAB-SSI111/2020	735
Denmark/ALAB-SSI113/2020	673
Denmark/ALAB-SSI114/2020	753
Denmark/ALAB-SSI117/2020	96
Denmark/ALAB-SSI118/2020	1914
Denmark/ALAB-SSI119/2020	659
Denmark/ALAB-SSI120/2020	769
Denmark/ALAB-SSI121/2020	768
Denmark/ALAB-SSI122/2020	768
Denmark/ALAB-SSI123/2020	735
Denmark/ALAB-SSI125/2020	1974
Denmark/ALAB-SSI126/2020	693
Denmark/ALAB-SSI128/2020	735
Denmark/ALAB-SSI129/2020	684
Denmark/ALAB-SSI132/2020	735
Denmark/ALAB-SSI139/2020	690
Denmark/ALAB-SSI141/2020	703
Denmark/ALAB-SSI142/2020	1232
Denmark/ALAB-SSI143/2020	704
Denmark/ALAB-SSI144/2020	764
Denmark/ALAB-SSI145/2020	717
Denmark/ALAB-SSI146/2020	774
Denmark/ALAB-SSI147/2020	764
Denmark/ALAB-SSI148/2020	760
Denmark/ALAB-SSI149/2020	1223
Denmark/ALAB-SSI150/2020	735
