Strain	T5
Andorra/202552/2020	2641
Austria/CeMM0001/2020	2298
Austria/CeMM0002/2020	2313
Austria/CeMM0003/2020	715
Austria/CeMM0005/2020	1492
Austria/CeMM0006/2020	2679
Austria/CeMM0007/2020	274
Austria/CeMM0008/2020	2690
Austria/CeMM0009/2020	2297
Austria/CeMM0010/2020	717
Austria/CeMM0012/2020	514
Austria/CeMM0013/2020	448
Austria/CeMM0014/2020	217
Austria/CeMM0015/2020	76
Austria/CeMM0016/2020	2633
Austria/CeMM0017/2020	451
Austria/CeMM0023/2020	525
Austria/CeMM0024/2020	405
Austria/CeMM0025/2020	328
Austria/CeMM0027/2020	328
Austria/CeMM0028/2020	381
Austria/CeMM0029/2020	477
Austria/CeMM0030/2020	471
Austria/CeMM0031/2020	447
Austria/CeMM0032/2020	537
Austria/CeMM0033/2020	332
Austria/CeMM0034/2020	538
Austria/CeMM0035/2020	338
Austria/CeMM0036/2020	304
Austria/CeMM0037/2020	541
Austria/CeMM0038/2020	372
Austria/CeMM0039/2020	518
Austria/CeMM0041/2020	2977
Austria/CeMM0042/2020	513
Austria/CeMM0043/2020	2249
Austria/CeMM0045/2020	851
Austria/CeMM0068/2020	2880
Austria/CeMM0071/2020	147
Austria/CeMM0073/2020	553
Austria/CeMM0108/2020	2147
Austria/CeMM0109/2020	3138
Austria/CeMM0111/2020	733
Austria/CeMM0116/2020	375
Austria/CeMM0117/2020	381
Austria/CeMM0118/2020	472
Austria/CeMM0119/2020	1904
Austria/CeMM0120/2020	218
Austria/CeMM0121/2020	543
Austria/CeMM0123/2020	575
Austria/CeMM0124/2020	539
Austria/CeMM0125/2020	374
Austria/CeMM0126/2020	1029
Austria/CeMM0127/2020	226
Austria/CeMM0128/2020	538
Austria/CeMM0132/2020	524
Austria/CeMM0133/2020	384
Austria/CeMM0134/2020	350
Austria/CeMM0135/2020	518
Austria/CeMM0136/2020	447
Austria/CeMM0137/2020	672
Austria/CeMM0139/2020	375
Austria/CeMM0140/2020	1312
Austria/CeMM0143/2020	721
Austria/CeMM0146/2020	708
Austria/CeMM0147/2020	714
Austria/CeMM0148/2020	712
Austria/CeMM0149/2020	710
Austria/CeMM0150/2020	713
Austria/CeMM0153/2020	850
Austria/CeMM0154/2020	723
Austria/CeMM0155/2020	128
Austria/CeMM0156/2020	128
Austria/CeMM0157/2020	709
Austria/CeMM0158/2020	721
Austria/CeMM0159/2020	712
Austria/CeMM0160/2020	708
Austria/CeMM0161/2020	720
Austria/CeMM0162/2020	719
Austria/CeMM0163/2020	128
Austria/CeMM0165/2020	713
Austria/CeMM0166/2020	712
Austria/CeMM0167/2020	1194
Austria/CeMM0168/2020	710
Austria/CeMM0169/2020	709
Austria/CeMM0170/2020	715
Austria/CeMM0171/2020	709
Austria/CeMM0172/2020	714
Austria/CeMM0175/2020	703
Austria/CeMM0176/2020	709
Austria/CeMM0177/2020	707
Austria/CeMM0178/2020	717
Austria/CeMM0180/2020	710
Austria/CeMM0181/2020	713
